city,county,county_cat
Hughson,Stanislaus,suburban
Humboldt Hill,Humboldt,rural
Huntington Beach,Orange,urban
Huntington Park,Los Angeles,urban
Huron,Fresno,urban
Hyampom,Trinity,rural
Hydesville,Humboldt,rural
Idlewild,Tulare,suburban
Idyllwild-Pine Cove,Riverside,urban
Imperial Beach,San Diego,urban
Imperial,Imperial,suburban
Independence,Inyo,rural
Indian Falls,Plumas,rural
Indian Wells,Riverside,urban
Indianola,Humboldt,rural
Indio,Riverside,urban
Indio Hills,Riverside,urban
Industry,Los Angeles,urban
Inglewood,Los Angeles,urban
Interlaken,Santa Cruz,suburban
Inverness,Marin,suburban
Inyokern,Kern,suburban
Ione,Amador,rural
Iron Horse,Plumas,rural
Irvine,Orange,urban
Irwindale,Los Angeles,urban
Isla Vista,Santa Barbara,suburban
Isleton,Sacramento,urban
Ivanhoe,Tulare,suburban
Jackson,Amador,rural
Jacumba,San Diego,urban
Jamestown,Tuolumne,rural
Jamul,San Diego,urban
Janesville,Lassen,rural
Jenner,Sonoma,suburban
Johannesburg,Kern,suburban
Johnstonville,Lassen,rural
Johnsville,Plumas,rural
Joshua Tree,San Bernardino,urban
Julian,San Diego,urban
Junction,Trinity,rural
June Lake,Mono,rural
Keddie,Plumas,rural
Keeler,Inyo,rural
Keene,Kern,suburban
Kelly Ridge,Butte,suburban
Kelseyville,Lake,rural
Kennedy,San Joaquin,urban
Kennedy Meadows,Tulare,suburban
Kensington,Contra Costa,urban
Kentfield,Marin,suburban
Kenwood,Sonoma,suburban
Kerman,Fresno,urban
Kernville,Kern,suburban
Keswick,Shasta,suburban
Kettleman,Kings,rural
Keyes,Stanislaus,suburban
King,Monterey,suburban
Kings Beach,Placer,suburban
Kingsburg,Fresno,urban
Kingvale,Nevada,rural
Kingvale,Placer,suburban
Kirkwood,Alpine,rural
Kirkwood,Amador,rural
Klamath,Del Norte,rural
Knights Landing,Yolo,suburban
Knightsen,Contra Costa,urban
La Canada Flintridge,Los Angeles,urban
La Crescenta-Montrose,Los Angeles,urban
La Habra,Orange,urban
La Habra Heights,Los Angeles,urban
La Honda,San Mateo,urban
La Mesa,San Diego,urban
La Mirada,Los Angeles,urban
La Palma,Orange,urban
La Porte,Plumas,rural
La Presa,San Diego,urban
La Puente,Los Angeles,urban
La Quinta,Riverside,urban
La Riviera,Sacramento,urban
La Selva Beach,Santa Cruz,suburban
La Verne,Los Angeles,urban
La Vina,Madera,rural
Ladera,San Mateo,urban
Ladera Heights,Los Angeles,urban
Ladera Ranch,Orange,urban
Lafayette,Contra Costa,urban
Laguna Beach,Orange,urban
Laguna Hills,Orange,urban
Laguna Niguel,Orange,urban
Laguna Woods,Orange,urban
Lagunitas-Forest Knolls,Marin,suburban
Lake Almanor Country Club,Plumas,rural
Lake Almanor Peninsula,Plumas,rural
Lake Almanor West,Plumas,rural
Lake Arrowhead,San Bernardino,urban
Lake California,Tehama,rural
Lake,Modoc,rural
Lake Davis,Plumas,rural
Lake Don Pedro,Mariposa,rural
Lake Elsinore,Riverside,urban
Lake Forest,Orange,urban
Lake Hughes,Los Angeles,urban
Lake Isabella,Kern,suburban
Lake Los Angeles,Los Angeles,urban
Lake Mathews,Riverside,urban
Lake Nacimiento,San Luis Obispo,suburban
Lake of the Pines,Nevada,rural
Lake of the Woods,Kern,suburban
Lake Riverside,Riverside,urban
Lake San Marcos,San Diego,urban
Lake Sherwood,Ventura,urban
Lake Wildwood,Nevada,rural
Lakehead,Shasta,suburban
Lakeland Village,Riverside,urban
Lakeport,Lake,rural
Lakeside,San Diego,urban
Lakeview,Riverside,urban
Lakewood,Los Angeles,urban
Lamont,Kern,suburban
Lanare,Fresno,urban
Lancaster,Los Angeles,urban
Larkfield-Wikiup,Sonoma,suburban
Larkspur,Marin,suburban
Las Flores,Orange,urban
Las Flores,Tehama,rural
Las Lomas,Monterey,suburban
Lathrop,San Joaquin,urban
Laton,Fresno,urban
Lawndale,Los Angeles,urban
Laytonville,Mendocino,rural
Le Grand,Merced,suburban
Lebec,Kern,suburban
Lee Vining,Mono,rural
Leggett,Mendocino,rural
Lemon Cove,Tulare,suburban
Lemon Grove,San Diego,urban
Lemon Hill,Sacramento,urban
Lemoore,Kings,rural
Lemoore Station,Kings,rural
Lennox,Los Angeles,urban
Lenwood,San Bernardino,urban
Leona Valley,Los Angeles,urban
Lewiston,Trinity,rural
Lexington Hills,Santa Clara,urban
Likely,Modoc,rural
Lincoln,Placer,suburban
Lincoln Village,San Joaquin,urban
Linda,Yuba,rural
Lindcove,Tulare,suburban
Linden,San Joaquin,urban
Lindsay,Tulare,suburban
Linnell Camp,Tulare,suburban
Litchfield,Lassen,rural
Little Grass Valley,Plumas,rural
Little River,Mendocino,rural
Littlerock,Los Angeles,urban
Live Oak,Santa Cruz,suburban
Live Oak,Sutter,rural
Livermore,Alameda,urban
Livingston,Merced,suburban
Lockeford,San Joaquin,urban
Lockwood,Monterey,suburban
Lodi,San Joaquin,urban
Lodoga,Colusa,rural
Loleta,Humboldt,rural
Loma Linda,San Bernardino,urban
Loma Mar,San Mateo,urban
Loma Rica,Yuba,rural
Lomita,Los Angeles,urban
Lompico,Santa Cruz,suburban
Lompoc,Santa Barbara,suburban
London,Tulare,suburban
Lone Pine,Inyo,rural
Long Barn,Tuolumne,rural
Long Beach,Los Angeles,urban
Lookout,Modoc,rural
Loomis,Placer,suburban
Los Alamitos,Orange,urban
Los Alamos,Santa Barbara,suburban
Los Altos,Santa Clara,urban
Los Altos Hills,Santa Clara,urban
Los Angeles,Los Angeles,urban
Los Banos,Merced,suburban
Los Berros,San Luis Obispo,suburban
Los Gatos,Santa Clara,urban
Los Molinos,Tehama,rural
Los Olivos,Santa Barbara,suburban
Los Osos,San Luis Obispo,suburban
Los Ranchos,San Luis Obispo,suburban
Lost Hills,Kern,suburban
Lower Lake,Lake,rural
Loyalton,Sierra,rural
Loyola,Santa Clara,urban
Lucas Valley-Marinwood,Marin,suburban
Lucerne,Lake,rural
Lucerne Valley,San Bernardino,urban
Lynwood,Los Angeles,urban
Lytle Creek,San Bernardino,urban
Mabie,Plumas,rural
Macdoel,Siskiyou,rural
Mad River,Trinity,rural
Madera Acres,Madera,rural
Madera,Madera,rural
Madison,Yolo,suburban
Magalia,Butte,suburban
Malaga,Fresno,urban
Malibu,Los Angeles,urban
Mammoth Lakes,Mono,rural
Manchester,Mendocino,rural
Manhattan Beach,Los Angeles,urban
Manila,Humboldt,rural
Manteca,San Joaquin,urban
Manton,Tehama,rural
March ARB,Riverside,urban
Maricopa,Kern,suburban
Marin,Marin,suburban
Marina,Monterey,suburban
Marina del Rey,Los Angeles,urban
Mariposa,Mariposa,rural
Markleeville,Alpine,rural
Martell,Amador,rural
Martinez,Contra Costa,urban
Marysville,Yuba,rural
Matheny,Tulare,suburban
Mather,Sacramento,urban
Maxwell,Colusa,rural
Mayfair,Fresno,urban
Mayflower Village,Los Angeles,urban
Maywood,Los Angeles,urban
McArthur,Shasta,suburban
McClellan Park,Sacramento,urban
McClenney Tract,Tulare,suburban
McCloud,Siskiyou,rural
McFarland,Kern,suburban
McGee Creek,Mono,rural
McKinleyville,Humboldt,rural
McKittrick,Kern,suburban
McSwain,Merced,suburban
Mead Valley,Riverside,urban
Meadow Valley,Plumas,rural
Meadow Vista,Placer,suburban
Meadowbrook,Riverside,urban
Mecca,Riverside,urban
Meiners Oaks,Ventura,urban
Mendocino,Mendocino,rural
Mendota,Fresno,urban
Menifee,Riverside,urban
Menlo Park,San Mateo,urban
Mentone,San Bernardino,urban
Merced,Merced,suburban
Meridian,Sutter,rural
Mesa,Inyo,rural
Mesa Verde,Riverside,urban
Mesa Vista,Alpine,rural
Mettler,Kern,suburban
Mexican Colony,Kern,suburban
Mi-Wuk Village,Tuolumne,rural
Middletown,Lake,rural
Midpines,Mariposa,rural
Midway,Orange,urban
Milford,Lassen,rural
Mill Valley,Marin,suburban
Millbrae,San Mateo,urban
Millville,Shasta,suburban
Milpitas,Santa Clara,urban
Mineral,Tehama,rural
Minkler,Fresno,urban
Mira Loma,Riverside,urban
Mira Monte,Ventura,urban
Miranda,Humboldt,rural
Mission Canyon,Santa Barbara,suburban
Mission Hills,Santa Barbara,suburban
Mission Viejo,Orange,urban
Modesto,Stanislaus,suburban
Mohawk Vista,Plumas,rural
Mojave,Kern,suburban
Mokelumne Hill,Calaveras,rural
Monmouth,Fresno,urban
Mono,Mono,rural
Mono Vista,Tuolumne,rural
Monrovia,Los Angeles,urban
Monson,Tulare,suburban
Montague,Siskiyou,rural
Montalvin Manor,Contra Costa,urban
Montara,San Mateo,urban
Montclair,San Bernardino,urban
Monte Rio,Sonoma,suburban
Monte Sereno,Santa Clara,urban
Montebello,Los Angeles,urban
Montecito,Santa Barbara,suburban
Monterey,Monterey,suburban
Monterey Park,Los Angeles,urban
Monterey Park Tract,Stanislaus,suburban
Montgomery Creek,Shasta,suburban
Monument Hills,Yolo,suburban
Moorpark,Ventura,urban
Morada,San Joaquin,urban
Moraga,Contra Costa,urban
Moreno Valley,Riverside,urban
Morgan Hill,Santa Clara,urban
Morongo Valley,San Bernardino,urban
